company_id,legal_entity,rule_id,opportunity_type,opportunity_level,confidence,process_id,process_name,reason,company_signal,process_signal,engine_version
P07,VARIOPLAST Konrad Däbritz GmbH,R004,heat_recovery,HIGH,B,PR001,injection_moulding,"Cooling/compression evidence supports recoverable-heat relevance",refrigeration_or_compressor_signal,HIGH_cooling_relevance,0.1.0
P07,VARIOPLAST Konrad Däbritz GmbH,R007,battery_storage,RESEARCH_REQUIRED,C,PR001,injection_moulding,"PV alone is insufficient for a strong battery-storage recommendation without load and tariff context",pv_present,,0.1.0
P10,Oskar Lehmann GmbH & Co. KG,R001,energy_management,HIGH,B,PR001,injection_moulding,"High drive relevance combined with multi-shift production supports energy-management relevance",three_shift_operation,HIGH_drive_relevance,0.1.0
P10,Oskar Lehmann GmbH & Co. KG,R008,flexibility,MEDIUM,B,PR001,injection_moulding,"Schedulable process evidence supports a provisional flexibility opportunity",multi_shift_or_batch_signal,MEDIUM_schedulability,0.1.0
